family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-02-2,504,1008,PI_DIST,1,42,168,168,4,3.00,106,1680,1008,4032,0,8,6,72,334.3,588,588,,0,588,0,54,,,10000,1,,0,0,504,,,CERTIFIED,232,334.3,,,,PI,false,AUTO,504,GLOBAL,4032,,CRYPTOMINISAT_XOR,77
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-03-1,504,1008,PI_DIST,1,42,168,168,4,3.00,112,1680,1008,4032,0,8,6,70,334.7,588,588,,0,588,0,46,,,10000,1,,0,0,504,,,CERTIFIED,228,334.7,,,,PI,false,AUTO,504,GLOBAL,4032,,CRYPTOMINISAT_XOR,81
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-03-2,504,1008,PI_DIST,1,42,168,168,4,3.00,117,1680,1008,4032,0,8,6,74,335.1,588,588,,0,588,0,58,,,10000,1,,0,0,504,,,CERTIFIED,249,335.1,,,,PI,false,AUTO,504,GLOBAL,4032,,CRYPTOMINISAT_XOR,81
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-04-1,504,1008,PI_DIST,1,42,168,168,4,3.00,116,1680,1008,4032,0,8,6,78,335.9,588,588,,0,588,0,51,,,10000,1,,0,0,504,,,CERTIFIED,245,335.9,,,,PI,false,AUTO,504,GLOBAL,4032,,CRYPTOMINISAT_XOR,80
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0504-04-2,504,1008,PI_DIST,1,42,168,168,4,3.00,101,1680,1008,4032,0,8,6,72,335.9,588,588,,0,588,0,49,,,10000,1,,0,0,504,,,CERTIFIED,222,335.9,,,,PI,false,AUTO,504,GLOBAL,4032,,CRYPTOMINISAT_XOR,80
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0576-01-1,576,1152,PI_DIST,1,42,192,192,4,3.00,151,1920,1152,4608,0,8,6,83,337.2,672,672,,0,672,0,56,,,10000,1,,0,0,576,,,CERTIFIED,290,337.2,,,,PI,false,AUTO,576,GLOBAL,4608,,CRYPTOMINISAT_XOR,92
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0576-01-2,576,1152,PI_DIST,1,42,192,192,4,3.00,151,1920,1152,4608,0,8,6,82,337.2,672,672,,0,672,0,56,,,10000,1,,0,0,576,,,CERTIFIED,289,337.2,,,,PI,false,AUTO,576,GLOBAL,4608,,CRYPTOMINISAT_XOR,92
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0576-02-1,576,1152,PI_DIST,1,42,192,192,4,3.00,147,1920,1152,4608,0,8,6,85,337.2,672,672,,0,672,0,52,,,10000,1,,0,0,576,,,CERTIFIED,284,337.2,,,,PI,false,AUTO,576,GLOBAL,4608,,CRYPTOMINISAT_XOR,92
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0576-02-2,576,1152,PI_DIST,1,42,192,192,4,3.00,142,1920,1152,4608,0,8,6,85,337.2,672,672,,0,672,0,54,,,10000,1,,0,0,576,,,CERTIFIED,281,337.2,,,,PI,false,AUTO,576,GLOBAL,4608,,CRYPTOMINISAT_XOR,92
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0576-03-1,576,1152,PI_DIST,1,42,192,192,4,3.00,136,1920,1152,4608,0,8,6,84,337.2,672,672,,0,672,0,55,,,10000,1,,0,0,576,,,CERTIFIED,275,337.2,,,,PI,false,AUTO,576,GLOBAL,4608,,CRYPTOMINISAT_XOR,91
