family,instance,n,m,n_effective,true_orbits,gt_ms,gt_timed_out,gt_outcome,gt_tool,gt_memory_cap_mb,gt_timeout_s,gt_subdivided
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0864-02-2,864,1728,864,,3600138,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0864-03-1,864,1728,864,864,50679,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0864-03-2,864,1728,864,864,50090,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0864-04-1,864,1728,864,,3600121,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0864-04-2,864,1728,864,,3600113,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0936-01-1,936,1872,936,,3600095,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0936-01-2,936,1872,936,,3600130,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0936-02-1,936,1872,936,,3600124,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0936-02-2,936,1872,936,,3600113,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0936-03-1,936,1872,936,936,48766,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0936-03-2,936,1872,936,936,48884,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0936-04-1,936,1872,936,936,62808,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0936-04-2,936,1872,936,936,62126,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1008-01-1,1008,2016,1008,,3600120,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1008-01-2,1008,2016,1008,,3600063,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1008-02-1,1008,2016,1008,,3600134,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1008-02-2,1008,2016,1008,,3600117,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1008-03-1,1008,2016,1008,1008,55489,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1008-03-2,1008,2016,1008,1008,55374,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1008-04-1,1008,2016,1008,,3600117,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1008-04-2,1008,2016,1008,,3600117,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1080-01-1,1080,2160,1080,1080,12571,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1080-01-2,1080,2160,1080,1080,11573,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1080-02-1,1080,2160,1080,,3600123,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1080-02-2,1080,2160,1080,,3600124,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1080-03-1,1080,2160,1080,,3600131,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1080-03-2,1080,2160,1080,,3600121,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1080-04-1,1080,2160,1080,,3600127,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1080-04-2,1080,2160,1080,,3600128,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1152-01-1,1152,2304,1152,1152,218883,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1152-01-2,1152,2304,1152,1152,214134,false,OK,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1152-02-1,1152,2304,1152,,3600121,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1152-02-2,1152,2304,1152,,3600136,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1152-03-1,1152,2304,1152,,3600117,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1152-03-2,1152,2304,1152,,3600120,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1152-04-1,1152,2304,1152,,3600132,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1152-04-2,1152,2304,1152,,3600134,true,TIMEOUT,traces,4096,3600,false
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-1224-01-1,1224,2448,1224,,3600041,true,TIMEOUT,traces,4096,3600,false
